participant,age,sex,bfi_a1,bfi_a2,bfi_a3,bfi_a4,bfi_a5,bfi_a6,bfi_a7,bfi_a8,bfi_a9,bfi_c1,bfi_c2,bfi_c3,bfi_c4,bfi_c5,bfi_c6,bfi_c7,bfi_c8,bfi_c9,bfi_e1,bfi_e2,bfi_e3,bfi_e4,bfi_e5,bfi_e6,bfi_e7,bfi_e8,bfi_n1,bfi_n2,bfi_n3,bfi_n4,bfi_n5,bfi_n6,bfi_n7,bfi_n8,bfi_o1,bfi_o10,bfi_o2,bfi_o3,bfi_o4,bfi_o5,bfi_o6,bfi_o7,bfi_o8,bfi_o9,is_likert,complete_criteria_a,complete_criteria_c,complete_criteria_e,complete_criteria_n,complete_criteria_o,agreeableness_mean,conscientiousness_mean,extraversion_mean,neuroticism_mean,openness_mean,block,category,trial,response,reaction_time,mean1,mean2,SD,D,trials_in_critical_blocks,exclusion_trial,pct_fast_trials,overall_accuracy,exclusion_performance,exclude_participant
440109,46,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,3,3,5,5,5,5,2,2,2,4,2,4,2,3,3,4,6,4,3,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,4.777777777777778,2.625,3.875,NA,3,"Black People/Positive,White People/Negative",White People/Negative,correct,1221,797,650.5714285714286,323.53224532282866,-0.45259343866161256,117,exclude,0,1,include,include
355243,27,m,4,4,4,4,4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,6,4,5,4,5,3,include,include,exclude,exclude,exclude,include,4.222222222222222,NA,NA,NA,4.4,3,"White People/Pleasant,Black People/Unpleasant",White People/Pleasant,correct,883,1017.6,892.0886075949367,356.6259238552197,-0.35194130322398415,119,exclude,0,1,include,include
214625,20,f,2,4,4,4,5,6,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,6,4,4,3,4,5,include,include,exclude,exclude,exclude,include,4.333333333333333,NA,NA,NA,4.2,3,"White People/Bad,Black People/Good",White People/Bad,correct,578,691.1794871794872,614.1315789473684,121.96369081177482,-0.6317282440314627,115,exclude,0,1,include,include
214148,20,m,1,4,6,4,4,2,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,4,4,4,4,2,4,5,include,include,exclude,exclude,exclude,include,3.5555555555555554,NA,NA,NA,3.8,3,"White People/Unpleasant,Black People/Pleasant",Black People/Pleasant,correct,673,693.5428571428571,706.1971830985915,202.54607852615968,0.062476282176453235,106,exclude,0,1,include,include
213400,29,f,5,4,6,3,5,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,5,2,3,3,4,1,include,include,exclude,exclude,exclude,include,5,NA,NA,NA,3,3,"Black People/Unpleasant,White People/Pleasant",White People/Pleasant,correct,2949,903.8205128205128,744.2537313432836,467.12898034346955,-0.341590413337026,106,exclude,0,1,include,include
216503,33,f,4,5,1,2,4,2,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,5,5,4,5,5,6,3,include,include,exclude,exclude,exclude,include,3.3333333333333335,NA,NA,NA,4.8,3,"Black People/Unpleasant,White People/Pleasant",White People/Pleasant,correct,600,874,1266.8125,1980.9099656171766,0.19829901753137705,97,exclude,0,1,include,include
369479,28,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,2,3,6,4,6,3,6,4,4,5,5,5,4,6,2,2,4,5,3,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,4.222222222222222,4.875,3,NA,3,"Black People/Good,White People/Bad",White People/Bad,correct,584,651.1794871794872,612.1428571428571,258.3666204634708,-0.15109006715575038,116,exclude,0,1,include,include
220525,33,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,3,5,6,6,6,3,6,3,3,5,3,6,1,5,4,5,5,4,4,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude,include,include,include,exclude,NA,5,4,4.25,NA,3,"Black People/Negative,White People/Positive",Black People/Negative,correct,859,610.825,629.0897435897435,174.1163963682978,0.10489961870741449,118,exclude,0,1,include,include
225948,23,m,3,5,4,3,2,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,5,5,6,4,6,6,include,include,exclude,exclude,exclude,include,3.5555555555555554,NA,NA,NA,5.3,3,"White People/Negative,Black People/Positive",Black People/Positive,correct,1644,878.2051282051282,728.1012658227849,311.4003963815392,-0.48202848848795476,118,exclude,0,1,include,include
227399,16,m,2,3,2,3,4,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,5,3,2,4,3,5,3,include,include,exclude,exclude,exclude,include,2.3333333333333335,NA,NA,NA,3.9,3,"White People/Negative,Black People/Positive",White People/Negative,correct,627,718.5,718.4246575342465,296.71637464897236,-2.539208220058579e-4,113,exclude,0,1,include,include
